"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"BA2156R",0.0336580117980005,0.0197320689253686,0.0603503560494515,0.233066714028857,0,0.0993896994475438,0,0,0,0,0.290628876834976,0,0.141866224719729,0,0,0.00312372557862895,0,0,0.0109174136486952,0.0200357406349419,0.0761990054479319,0.0110321628858757,0.005,0.331285353388156,0.971564653849046
"BA2655R",0.0470289704043583,0,0.0147593594383422,0.0808387749787731,0,0.144807208093252,0.0232714220893307,0.0060400754623,0,0,0.0511793136200029,0,0.268065375691359,0.025273665191697,0,0,0,0,0.110144186905283,0,0.17872582255885,0.0498658255664524,0.027,0.184243663267361,1.01718244600407
"BA2227R",0.0943784379402482,0,0.290971395344345,0.0561985885961155,0,0.0399552645122795,0.00264954507661898,0.013453547204765,0,0,0.0528865494235587,0,0.149735003648293,0.00147835211035045,0,0.038842856419983,0,0,0.119073962966335,0,0.139950320105884,0.000426176651223345,0.037,0.168233819569048,1.00386380578746
"BA2125R",0.0875813961920844,0,0.0688952125736486,0.104026163268665,0,0.0696810517523443,0,0.00596233694201148,8.17029233755978e-05,0,0.0672526648990292,0,0.30370977734086,0.0173234187311716,0,0.00359851897863944,0,0,0.0336140151037053,0,0.0544329206121516,0.183840820682313,0.08,0.117694859943416,1.06970454950959
"BA2523R",0.0349975229614581,0,0.166148929803548,0.063788551470338,0,0.102096892732961,0,0,0,0,0.0715979325875671,0,0.0741486070620891,0,0.00371476735074927,0.0474992235846186,0,0,0.278505319283619,0,0.157502253163052,0,0.027,0.184425495937432,1.00987850085807
"BA2603R",0.0488659352265055,0,0.0205197704320311,0.0109491024581908,0,0.0884283397192742,0,0,0.0159935457864716,0,0.115507260694896,0,0.282150375025402,0.041018525296178,0.00294784339278775,0,0,0,0,0.0276306728325502,0.124423205149127,0.221565423986587,0.068,0.123990320898113,1.08683675859061
"BA2594R",0.0409897955176678,0,0.00604194322734218,0.0366532938761936,0,0.113637792317452,0,0.0112994381075927,0,0,0.0950828153907898,0,0.417906691024056,0.045836912290141,0.00115868427394242,0,0,0,0,0.00880901054260728,0,0.222583623432215,0.004,0.355146079278249,0.970903018518635
"BA2561R",0.0249340386834333,0,0.0225256957501943,0.0105334103477598,0,0.0854216137826432,0,0.00473592550117144,0,0,0.011910133145605,0.000112300354033835,0.577634153846926,0,0,0.160453181808901,0,0,0.0496599005261065,0,0.0381380596735619,0.0139415865796645,0.119,0.0960737472638459,1.11037824122233
"BA2474R",0.100582268095235,0,0.0388885183174927,0.041596539425368,0,0.0678188878336619,0.0134594992080475,0,0.00337214134915223,0,0.108757236363923,0,0.392998981260403,0,0,0.000887856838553095,0,0,0.0213694125710671,0,0.114029743374973,0.0962389153621245,0.00800000000000001,0.26531020534862,0.995571427851368
"BA2110R",0.000392384130829605,0.00489876213566878,0,0.003976616081464,0,0.0334162460660956,0,0,0.00318349744552473,0,0.074604350174647,0,0.767705432244538,0,0,0.0221826714914047,0,0.00389995774908534,0,0,0.0537783910611571,0.0319616914195851,0,0.55114063158356,0.850371679893999
"BA2992R",0.00189847109688273,0.0224088404467676,0,0.0307903731186959,0,0.0685449881760271,0,0.0158084074356022,0,0,0.0372880428137743,0,0.618098096854187,0,0,0.0286515642073768,0,0,0.0454805600873967,0,0.13103065576329,0,0.00800000000000001,0.260742894646663,1.02318479645214
"BA2220R",0.00393811051302217,0,0,0.0383047822766468,0,0.229452627185861,0,0.0132709701196282,0,0,0.0970490085371185,0,0.125042382647634,0.0560713461049238,0.00639226643707757,0,0,0,0.0805092691671409,0.0222833661062887,0.215741499561085,0.111944371343573,0.00800000000000001,0.269576549045962,0.983567521415527
"BA2676R",0.0557121008212994,0,0.0269847666650972,0.0431175133553798,0,0.0575759545672422,0,0.012008519147131,0,0,0.10850039798743,0,0.421379992896111,0.164364421543844,0.00177224117573841,0,0,0,0.0127785958946994,0.00496572239596415,0.0189056157063644,0.0719341578436989,0.185,0.0713677859830964,1.09697061462723
"BA2811R",0.0763112661311689,0,0.123063566263029,0.0580317474408115,0,0.0887617150516133,0.0178573219438561,0.0177485420562995,0,0.00709809288728523,0.0228317087809396,0,0.0506445942497479,0,0,0.0106975594977648,0,0.00835187648500462,0.51552651228194,0,0,0.00307549693053904,0.022,0.194886869735506,1.04910924090738
"BA2540R",0.040891213117851,0,0.00225513247034073,0.0285212528063535,0,0.131032521353829,0,0,0.00222305503935204,0,0.0399900731924782,0,0.346977390529493,0,0,0.248441611657123,0,0.00185583765603851,0.045186137916685,0,0.112625774260455,0,0.011,0.23259803560889,1.00266210183588
"BA2792R",0.00458977332382148,0.000291009284140907,0.0118727986100205,0.060730754793215,0,0.168967347522513,0,0.00391523495126853,0,0,0.103670616192928,0,0.262878143072694,0.0279305151573495,0.00291186510024795,0,0,0,0.0237457631060783,0,0.0928565430147943,0.235639635870928,0.118,0.09688646623607,1.1012955176624
"BA2651R",0.136627194272538,0,0.0662933337563633,0.0493548606936007,0,0.1904934603936,0,0,0,0,0.0659982923564318,0,0.2967791499946,0,0,0.00962223512684305,0,0.0032054600472874,0,0.0839576418205514,0.0976683715381844,0,0.063,0.130493371105798,1.03484294560089
"BA3013R",0.00246415241680264,0.000991433208824965,0.0967993555753378,0.0125292622478582,0,0.0814446662843629,0,0,0,0,0.0530680694335253,0,0.31349145796548,0,0.00449689009681643,0,0,0,0.1896969007474,0,0.198252663109531,0.0467651489140605,0.00800000000000001,0.266720983272022,0.985453309517668
"BA2377R",0.014198747865271,0.018004256548967,0.01949336484554,0.0939513556273037,0,0.0182797823537654,0.0137651746786119,0.00868885597669212,0.0162275297575692,0,0.0939919473508573,0,0.150101531931056,0.0362824004640409,0.0029105266091806,0.0853471400943251,0,0.00256021086273486,0,0,0.426197175034085,0,0.013,0.216507584208476,1.01885166555013
"BA2901R",0.0341547484018954,0,0.00914892421884445,0.0183662383318497,0,0.0410564687706446,0.00806493238344075,0,0,0,0.0682325329661835,0,0.610839737803772,0.0189720664556747,0,0,0,0.00107286016233999,0.00531274344005951,0,0.184778747065295,0,0.00800000000000001,0.275260607902613,1.01784883373312
