"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","te_class","status","neglog10p"
"LTR:ERV1:LTR7B",10205.7107633446,0.0519723721815061,0.112813576602305,0.460692531402679,0.645019214115596,0.870666277392757,"LTR","NS",0.190427348217305
"LTR:ERV1:LTR7C",1948.16865475863,-0.155693133435478,0.133486611773441,-1.16635766963451,0.243469865639261,0.605321478431953,"LTR","NS",0.613554783921439
"LTR:ERV1:LTR7Y",987.621616891158,0.689456475440243,0.194937033304735,3.53681629268694,0.000404981254909881,0.0204629507825371,"LTR","Upregulated",3.39256507821151
"LTR:ERV1:LTR8",6854.44421588041,0.130047345686641,0.0559928857841553,2.32256908829374,0.0202023129301409,0.212284914035475,"LTR","NS",1.69459890603389
"LTR:ERV1:LTR8A",1976.71351174391,0.0806450309558967,0.0632393829813712,1.27523431055064,0.20222632051051,0.567023085556209,"LTR","NS",0.694162320018217
"LTR:ERV1:LTR8B",3570.12955824721,-0.260367265090349,0.114893009817871,-2.26617150602186,0.0234408845125368,0.228156275236721,"LTR","NS",1.63002600478422
"LTR:ERV1:LTR9",1570.54929535315,0.101138391096744,0.0740304155124608,1.36617348959389,0.171884516280047,0.531377245943228,"LTR","NS",0.764763243714369
"LTR:ERV1:LTR9A1",1048.12813484781,0.049848739338474,0.0700415279665526,0.711702625366462,0.476648941599648,0.777510946757763,"LTR","NS",0.321801366992907
"LTR:ERV1:LTR9B",1068.78807843972,0.195267736620772,0.0764258787933123,2.55499497949978,0.0106189329584227,0.151716861257966,"LTR","NS",1.97391912106538
"LTR:ERV1:LTR9C",160.112703255598,0.128863250459364,0.0983341063882297,1.31046343117822,0.190039107409945,0.552538640519657,"LTR","NS",0.721157018075217
"LTR:ERV1:LTR9D",756.723446454584,0.202822046602949,0.0701705824548621,2.89041418080599,0.00384734561725882,0.0864426575563753,"LTR","Upregulated",2.41483879811579
"LTR:ERV1:MER101",549.53473522954,0.125721191347632,0.104385527659676,1.20439292846721,0.228437743961162,0.592276663701735,"LTR","NS",0.641232137554966
"LTR:ERV1:MER101-int",11456.9177640525,0.0526603258375263,0.116241722249982,0.45302430846885,0.650531237624608,0.872442057950258,"LTR","NS",0.18673184437177
"LTR:ERV1:MER101B",99.3584479630649,0.0721304259459965,0.113563999296573,0.635152217188369,0.525329143729905,0.806990841740516,"LTR","NS",0.279568505136378
"LTR:ERV1:MER110",279.229931491144,0.112896148351738,0.0879653129064825,1.28341666301761,0.199346139134998,0.563930585086913,"LTR","NS",0.700392171180934
"LTR:ERV1:MER110-int",224.874256585161,0.10889088134905,0.113252469257674,0.96148792218649,0.336306895392479,0.685219062857257,"LTR","NS",0.473264228135249
"LTR:ERV1:MER110A",626.194405454907,0.0914499934562998,0.071027005535492,1.28753834920723,0.197906711946354,0.562037195028597,"LTR","NS",0.703539476577668
"LTR:ERV1:MER31-int",2007.37504179761,0.0736782258413859,0.0793269887771663,0.928791411058751,0.352997196475074,0.698551221695462,"LTR","NS",0.452228743791328
"LTR:ERV1:MER31A",2504.4588609542,0.0381546835646946,0.0581461606044238,0.656185776809342,0.511704599200969,0.799097815152456,"LTR","NS",0.29098067957151
"LTR:ERV1:MER31B",1850.30574341297,0.132122831482003,0.0846784646177854,1.56028846387766,0.118691728303193,0.459934719661908,"LTR","NS",0.925579546230355
"LTR:ERV1:MER34",1351.61717104439,0.179300152027228,0.0842818433892836,2.1273876414766,0.0333878881412649,0.271341656631349,"LTR","NS",1.47641105017597
"LTR:ERV1:MER34-int",598.76237975045,-0.0308576531860315,0.129768063943798,-0.237790811145921,0.812043345927122,0.937137042387921,"LTR","NS",0.0904207880069435
"LTR:ERV1:MER34A",1885.78596463789,0.116925007768853,0.0795110317426909,1.47055075511081,0.141412649978088,0.492498937600153,"LTR","NS",0.849511739266491
"LTR:ERV1:MER34A1",1132.74154761348,0.0606365483196246,0.0684021572659519,0.886471286042425,0.375363620459305,0.715379461416277,"LTR","NS",0.425547820684782
"LTR:ERV1:MER34B",998.056452973824,0.0603430607006548,0.0575156290937883,1.04915936157555,0.294104778851616,0.652114413391261,"LTR","NS",0.531497918668636
"LTR:ERV1:MER34B-int",4302.87352831977,-0.0987983695342747,0.106137173303421,-0.930855481253805,0.351928325787353,0.697632572529869,"LTR","NS",0.453545776534906
"LTR:ERV1:MER34C",152.443645531257,-0.00572926426284105,0.0943360444467649,-0.060732504701044,0.951572244443753,0.984233584888523,"LTR","NS",0.021558233995759
"LTR:ERV1:MER34C_",720.146413057931,0.122027615975254,0.0632173237465258,1.93028759750305,0.0535712129172713,0.331212056819931,"LTR","NS",1.27106852056172
"LTR:ERV1:MER34C2",1422.19878080781,0.0995643955088966,0.0609474683121693,1.63361002952467,0.102340760530337,0.43381047009343,"LTR","NS",0.989951359956225
"LTR:ERV1:MER34D",292.430820241711,0.331106454763595,0.118232060714612,2.8004794364772,0.00510267584085588,0.100946238620108,"LTR","Upregulated",2.29220202034093
"LTR:ERV1:MER39",4945.64924141516,0.0540602979631936,0.100647654453037,0.537124270376502,0.591181777029925,0.842500411787618,"LTR","NS",0.228278961381366
"LTR:ERV1:MER39B",1547.88045037158,0.13541583014754,0.0822198918403794,1.64699596553149,0.0995588750968256,0.429380771032954,"LTR","NS",1.0019200190743
"LTR:ERV1:MER4-int",6493.27679968338,0.108331687009558,0.0514447022299578,2.10578897950105,0.0352226865483132,0.277026369390142,"LTR","NS",1.45317752205952
"LTR:ERV1:MER41-int",5117.17577024023,0.0770623158963468,0.194548326993386,0.396108859363087,0.692024722900499,0.890377260646536,"LTR","NS",0.159878389896612
"LTR:ERV1:MER41A",9432.05971223774,0.0552251503735665,0.0918551799028157,0.60121977260287,0.54769361661862,0.819306361268127,"LTR","NS",0.261462320753641
"LTR:ERV1:MER41B",3561.31130900629,0.13843754895091,0.0661872647271003,2.09160401962082,0.0364739526640863,0.28062599086266,"LTR","NS",1.43801716985914
"LTR:ERV1:MER41C",1084.44417758695,0.0334113147131156,0.0708450655734653,0.471611035188732,0.637204448577067,0.86643278911079,"LTR","NS",0.195721200878238
"LTR:ERV1:MER41D",970.180434318704,0.143365912264699,0.0672852774378441,2.1307174128417,0.033112429672338,0.270194708656544,"LTR","NS",1.48000895109405
"LTR:ERV1:MER41E",652.627546668274,0.188762399607553,0.0934626888294676,2.01965513694956,0.0434191716596889,0.304081838437685,"LTR","NS",1.36231846616621
"LTR:ERV1:MER41G",265.576171550671,0.216425247977432,0.111271302975613,1.9450230399914,0.0517722053777624,0.326938256929637,"LTR","NS",1.28590333467059
"LTR:ERV1:MER48",467.097526320183,0.0946446169750124,0.0881379690038957,1.07382343891801,0.282901822651394,0.64185586598916,"LTR","NS",0.548364254505211
"LTR:ERV1:MER49",6500.07903751601,0.0249202413972654,0.0545756887842006,0.45661799149807,0.647945645169315,0.871735609503787,"LTR","NS",0.188461424674365
"LTR:ERV1:MER4A",2254.49671672171,0.114624837739163,0.0592824540432715,1.93353732717435,0.0531700393930743,0.330334781588199,"LTR","NS",1.27433301792189
"LTR:ERV1:MER4A1",3215.70742452196,0.14500111811953,0.0623892415183125,2.32413657532557,0.0201181753004814,0.211970763466951,"LTR","NS",1.69641141192965
"LTR:ERV1:MER4A1_",785.124243037289,0.0741736742303368,0.0539422382104878,1.37505740753478,0.169113647661057,0.528337885039353,"LTR","NS",0.771821342936145
"LTR:ERV1:MER4B",2391.43209078384,0.253688949438316,0.0814007218715012,3.11654422228329,0.0018298423361969,0.0560331672039239,"LTR","Upregulated",2.7375863285589
"LTR:ERV1:MER4B-int",2960.69628670761,0.0364106326201984,0.0739765203288213,0.492191744871958,0.622583799696152,0.858517226623557,"LTR","NS",0.205802184318624
"LTR:ERV1:MER4C",970.194186223042,0.0870934397793173,0.0875897173135827,0.994334066263867,0.320060255942734,0.673063551138217,"LTR","NS",0.494768251805257
"LTR:ERV1:MER4CL34",887.40796358794,0.182568990361966,0.0755829253294081,2.41547928406167,0.0157145163706038,0.185754033807364,"LTR","NS",1.80369898027224
"LTR:ERV1:MER4D",2652.70968204704,0.121785309581677,0.0967899663486269,1.25824312349712,0.208303843638665,0.573296007404172,"LTR","NS",0.681302716342883
"LTR:ERV1:MER4D0",1394.85821608421,-0.051378171179341,0.0515846906767891,-0.995996496349236,0.319251847527336,0.672885006204247,"LTR","NS",0.495866580772125
"LTR:ERV1:MER4D1",5686.23167374944,0.0642829253587835,0.100057961228643,0.642456877688027,0.520576579665237,0.803750503172739,"LTR","NS",0.283515374357686
"LTR:ERV1:MER4E",1333.57865922717,0.172057087145022,0.0862018410306804,1.9959792631782,0.0459361800133351,0.312027402957297,"LTR","NS",1.33784512294394
"LTR:ERV1:MER4E1",4283.2754788683,0.162446796507364,0.0899154243339667,1.80666217960557,0.070814968044741,0.375586945341948,"LTR","NS",1.14987493648843
"LTR:ERV1:MER50",3059.76850672324,0.160759295993087,0.0763256356745434,2.10622937591471,0.0351844326065243,0.277026369390142,"LTR","NS",1.45364944812792
"LTR:ERV1:MER50-int",625.911499717424,0.0590895937455241,0.0960432602062512,0.615239357958385,0.538396659162229,0.814623764797231,"LTR","NS",0.268897643642754
"LTR:ERV1:MER50B",661.498224894477,0.303415281472708,0.119158764598081,2.54631107074766,0.0108868125362695,0.153619408139395,"LTR","NS",1.9630992552799
"LTR:ERV1:MER50C",207.381701656319,0.208246993471771,0.151378486419541,1.37567099788949,0.168923514847432,0.528146135876581,"LTR","NS",0.772309890644222
"LTR:ERV1:MER51-int",1049.45683958868,0.0432634187082969,0.0692563025792739,0.62468565454784,0.53217739017803,0.810957513192784,"LTR","NS",0.273943580610456
"LTR:ERV1:MER51A",2401.65879445538,0.0326137002670737,0.0523129478258767,0.623434572557986,0.532998984824526,0.811365972171373,"LTR","NS",0.273273618150775
"LTR:ERV1:MER51B",666.985144798674,0.181327591682465,0.071018436120805,2.55324675657487,0.0106723856891732,0.152063785161238,"LTR","NS",1.97173848818269
"LTR:ERV1:MER51C",614.243594194249,0.16747399537706,0.0769143451950509,2.17740910297493,0.0294500570973978,0.255312364768452,"LTR","NS",1.53091385887142
"LTR:ERV1:MER51D",770.036779864907,0.054785419908664,0.127791891104225,0.428708108435316,0.668135659066116,0.879457815489985,"LTR","NS",0.175135348898341
"LTR:ERV1:MER51E",363.530380041285,0.244920066854974,0.139090555798907,1.76086769837251,0.0782607982523384,0.391726544057984,"LTR","NS",1.10645572665234
"LTR:ERV1:MER52-int",466.709566508728,0.117016475409816,0.137570114163016,0.850595175571019,0.394994270325059,0.72724864645852,"LTR","NS",0.403409204080521
"LTR:ERV1:MER52A",2075.9696424037,0.123279806570723,0.0813530954941011,1.51536712674518,0.129679457511916,0.475951098159226,"LTR","NS",0.88712881493988
"LTR:ERV1:MER52C",748.031555314635,0.148094791349168,0.0536633628664162,2.75970016485584,0.0057854433038828,0.108016766077844,"LTR","Upregulated",2.23766335805123
"LTR:ERV1:MER52D",915.863423757203,0.12263408765977,0.0703952369592804,1.74207933600262,0.0814945628644274,0.397495108763644,"LTR","NS",1.08887136545322
"LTR:ERV1:MER57-int",3282.75388069304,0.1025034273852,0.12113330812439,0.846203484180756,0.397439238596931,0.729357780773597,"LTR","NS",0.400729257848058
"LTR:ERV1:MER57A-int",2046.33771530924,0.0373217096030236,0.0704678368915112,0.529627575492097,0.596370171380402,0.844985886595123,"LTR","NS",0.224484086763072
"LTR:ERV1:MER57A1",923.477129681205,0.0101669846879352,0.0831763164688334,0.122234130093328,0.902713597204916,0.969080614339307,"LTR","NS",0.0444500158912146
"LTR:ERV1:MER57B1",848.6255332283,0.155341665996027,0.0669526523330502,2.32017195111693,0.0203315772907706,0.213005815486712,"LTR","NS",1.69182892819391
"LTR:ERV1:MER57B2",1172.08683676251,0.115216276237312,0.060150227733941,1.91547531202943,0.0554319146610892,0.33717462343443,"LTR","NS",1.25624012028207
"LTR:ERV1:MER57C1",465.222306509318,0.0890146376556482,0.0874841834223115,1.01749406776707,0.308918452897198,0.665383772888609,"LTR","NS",0.510156148830081
"LTR:ERV1:MER57C2",321.982260926101,0.053459573002667,0.106342328649336,0.502712077887159,0.615166716815212,0.854983653401299,"LTR","NS",0.21100716978419
"LTR:ERV1:MER57D",425.975780135385,0.0434399252804556,0.0893501910258544,0.486176076197596,0.626842331961366,0.860649309300156,"LTR","NS",0.202841682406954
"LTR:ERV1:MER57E1",705.254744267835,-0.0104849033046226,0.115826918917675,-0.0905221636092634,0.927872282240559,0.976981836880435,"LTR","NS",0.0325117984960088
"LTR:ERV1:MER57E2",84.8301953090324,0.14625291311229,0.10533917840541,1.38839997925006,0.165015282699522,0.523015042552195,"LTR","NS",0.782475832242374
"LTR:ERV1:MER57E3",1779.6090608941,0.0478927579799853,0.101909583158994,0.469953428278334,0.638388291126093,0.866976394476576,"LTR","NS",0.194915087111526
"LTR:ERV1:MER57F",3077.69619893716,0.0340532718041017,0.178146204045589,0.191153507797378,0.848405327290521,0.949873791766579,"LTR","NS",0.0713966131333012
"LTR:ERV1:MER61-int",945.643876519807,0.144236114148601,0.0795144178337839,1.8139617704315,0.0696836116354622,0.3733624628036,"LTR","NS",1.1568693483462
"LTR:ERV1:MER61A",391.311255671252,0.0614295995362518,0.0797097261561626,0.770666297559504,0.440904753363321,0.755727091475928,"LTR","NS",0.355655219049992
